total,medicaid,private,geo_id
316,50,237,0702001
677,533,75,0702002
467,127,203,0702003
796,443,96,0703001
1013,618,275,0703002
495,82,266,0704001
1342,390,668,0704002
1164,402,702,0705001
891,99,638,0705002
936,449,411,0706001
1171,487,493,0706002
947,266,530,0707001
1082,191,807,0707002
1135,844,238,0708001
1528,589,682,0708002
998,516,316,0709001
981,241,606,0721001
1300,317,877,0721002
456,104,278,0721003
1324,340,928,0721004
621,9,515,0722001
620,100,504,0722002
814,165,520,0722003
772,146,437,0722004
1118,205,599,0723001
1225,351,586,0723002
802,359,347,0724001
1167,504,532,0724002
944,398,151,0725001
611,176,254,0725002
833,85,713,0725003
1288,469,564,0725004
1022,158,657,0726001
1084,273,481,0726002
1032,22,418,0726003
746,171,517,0727001
1080,95,603,0727002
1161,279,542,0727003
802,217,451,0727004
882,72,678,0728001
1022,97,777,0728002
553,27,451,0728003
960,198,562,0728004
