total,private,medicaid,uninsured,private_percent,medicaid_percent,uninsured_percent,geo_id
3569131,2493443,397018,619634,69.9,11.1,17.4,01
501265,319517,48312,113997,63.7,9.6,22.7,02
4680243,3001605,691958,857165,64.1,14.8,18.3,04
2158237,1395459,234946,454118,64.7,10.9,21.0,05
27526878,17664350,3502457,5992161,64.2,12.7,21.8,06
3730665,2699288,306130,664981,72.4,8.2,17.8,08
2704903,2141079,296174,296019,79.2,10.9,10.9,09
679186,522759,92155,74789,77.0,13.6,11.0,10
493292,412760,97729,42855,83.7,19.8,8.7,11
14543834,9000549,1425049,3434126,61.9,9.8,23.6,12
7027555,4667963,605400,1631562,66.4,8.6,23.2,13
1012016,856562,110625,92648,84.6,10.9,9.2,15
1123339,796752,82866,230400,70.9,7.4,20.5,16
9551526,6967583,981845,1605451,72.9,10.3,16.8,17
4789150,3540814,424285,805248,73.9,8.9,16.8,18
2283123,1858085,233344,250765,81.4,10.2,11.0,19
2079024,1593411,146891,329663,76.6,7.1,15.9,20
3224339,2209005,390817,585861,68.5,12.1,18.2,21
3326985,2148677,411813,729269,64.6,12.4,21.9,22
1039939,728209,189081,122130,70.0,18.2,11.7,23
4337987,3422593,403679,576563,78.9,9.3,13.3,24
5063321,4108429,866454,264035,81.1,17.1,5.2,25
7432208,5564788,985793,1112281,74.9,13.3,15.0,26
3971070,3213646,431965,392094,80.9,10.9,9.9,27
2150922,1340813,293415,464593,62.3,13.6,21.6,28
4466134,3275035,414679,685749,73.3,9.3,15.4,29
754107,542542,55713,141423,71.9,7.4,18.8,30
1343180,1051385,100733,181919,78.3,7.5,13.5,31
2005224,1331150,135590,488361,66.4,6.8,24.4,32
1016909,814799,63058,131334,80.1,6.2,12.9,33
6636086,5065953,608186,1027702,76.3,9.2,15.5,34
1515041,918764,210225,345667,60.6,13.9,22.8,35
14832620,10528279,2471234,2068921,71.0,16.7,13.9,36
7080012,4831778,693481,1393137,68.2,9.8,19.7,37
510503,424820,32084,54832,83.2,6.3,10.7,38
8643518,6434486,921879,1236989,74.4,10.7,14.3,39
2747857,1832770,237759,601030,66.7,8.7,21.9,40
2933745,2070761,273283,575753,70.6,9.3,19.6,41
9727767,7612183,1129033,1126996,78.3,11.6,11.6,42
812773,596594,101501,113694,73.4,12.5,14.0,44
3458358,2307851,365273,693418,66.7,10.6,20.1,45
597248,463558,46716,82191,77.6,7.8,13.8,46
4766449,3239722,610691,819317,68.0,12.8,17.2,47
17903428,11155020,1540700,4878981,62.3,8.6,27.3,48
1879971,1421131,140834,327233,75.6,7.5,17.4,49
490225,355403,89135,47253,72.5,18.2,9.6,50
5957751,4522293,366934,898750,75.9,6.2,15.1,51
5055145,3684468,497436,843975,72.9,9.8,16.7,53
1438098,993951,180969,248643,69.1,12.6,17.3,54
4279244,3319261,544353,462090,77.6,12.7,10.8,55
418781,314050,27263,72068,75.0,6.5,17.2,56
2798196,1256471,1106183,258327,44.9,39.5,9.2,72
